model_variant,code,seed,window,UR_RMSE_pp,UR_MAE_pp,UR_corr,UR_bias_pp,UR_maxabs_pp,UR_sim_mean_pp,LFPR_RMSE_pp,LFPR_bias_pp,EPOP_RMSE_pp,EPOP_bias_pp,EU_mean,UE_mean,H2M_mean,buf_mean
Homogeneous ABM,D1_Homogeneous,2024,train,3.5904,2.4285,0.8397,2.3503,9.4029,8.7485,2.3893,1.5368,3.0569,-0.0925,0.01409,0.20006,0.0,7.556
Homogeneous ABM,D1_Homogeneous,2024,val,1.7337,1.4261,0.7592,-0.5758,4.1622,4.6784,6.8683,6.7902,7.0841,6.8209,0.01339,0.32568,0.0,10.769
Homogeneous ABM,D1_Homogeneous,2024,oos,0.5444,0.4126,0.8068,-0.3937,1.4209,3.524,8.5482,8.5366,8.4864,8.4823,0.0105,0.33021,0.0,11.855
Homogeneous ABM,D1_Homogeneous,888,train,3.5302,2.4395,0.8502,2.3763,9.0136,8.7745,2.3489,1.4564,3.0257,-0.1837,0.0141,0.19935,0.0,7.555
Homogeneous ABM,D1_Homogeneous,888,val,1.7562,1.4471,0.7564,-0.6183,3.6825,4.6358,7.0722,6.9761,7.3211,7.0281,0.01324,0.32542,0.0,10.764
Homogeneous ABM,D1_Homogeneous,888,oos,0.5541,0.4251,0.8009,-0.4143,1.4136,3.5042,8.8948,8.8854,8.8373,8.8338,0.01047,0.33086,0.0,11.848
Homogeneous ABM,D1_Homogeneous,1234,train,3.5607,2.4801,0.8374,2.3555,8.9903,8.7538,2.3918,1.5659,3.013,-0.0711,0.01412,0.19975,0.0,7.554
Homogeneous ABM,D1_Homogeneous,1234,val,1.728,1.4429,0.7589,-0.5594,3.9685,4.6948,7.2383,7.1457,7.431,7.1487,0.01342,0.32611,0.0,10.766
Homogeneous ABM,D1_Homogeneous,1234,oos,0.5653,0.4093,0.791,-0.3918,1.5366,3.5258,9.0775,9.067,8.996,8.9926,0.0105,0.32963,0.0,11.846
Simplified ABM,D2_Simplified,42,train,3.9031,2.7029,0.8376,2.5726,9.7989,8.9708,4.8859,4.3875,4.2812,2.3536,0.014,0.19649,0.0,7.503
Simplified ABM,D2_Simplified,42,val,1.6705,1.3824,0.7763,-0.5331,3.9425,4.721,9.6453,9.5861,9.6478,9.4553,0.0133,0.32061,0.0,10.553
Simplified ABM,D2_Simplified,42,oos,0.567,0.4232,0.8111,-0.4083,1.4952,3.5133,11.008,11.0041,10.8764,10.8747,0.01043,0.32716,0.0,11.464
Simplified ABM,D2_Simplified,137,train,4.1373,2.848,0.8402,2.7749,10.528,9.1732,4.8637,4.3377,4.2686,2.1692,0.01414,0.19458,0.0,7.512
Simplified ABM,D2_Simplified,137,val,1.7028,1.3931,0.7718,-0.5922,3.8667,4.662,9.588,9.5324,9.6352,9.4466,0.01325,0.32288,0.0,10.559
Simplified ABM,D2_Simplified,137,oos,0.5498,0.4071,0.8237,-0.3901,1.5052,3.5301,11.0,10.9917,10.8519,10.8487,0.01046,0.32649,0.0,11.467
Simplified ABM,D2_Simplified,2024,train,4.0496,2.7901,0.8386,2.7159,9.9383,9.1142,4.9405,4.4217,4.3332,2.2879,0.0141,0.19506,0.0,7.509
Simplified ABM,D2_Simplified,2024,val,1.6809,1.3895,0.7721,-0.5263,3.9766,4.7278,9.5389,9.4797,9.5452,9.3491,0.01333,0.32018,0.0,10.556
Simplified ABM,D2_Simplified,2024,oos,0.571,0.4281,0.8439,-0.4194,1.5236,3.5021,11.0159,11.0096,10.8897,10.8877,0.01032,0.3253,0.0,11.464
Simplified ABM,D2_Simplified,888,train,4.0629,2.7847,0.8372,2.7074,10.1987,9.1057,4.9553,4.4077,4.3675,2.2813,0.01408,0.19547,0.0,7.51
Simplified ABM,D2_Simplified,888,val,1.6997,1.3926,0.7707,-0.5708,3.9802,4.6833,9.625,9.5726,9.6538,9.4698,0.01325,0.32198,0.0,10.555
Simplified ABM,D2_Simplified,888,oos,0.5652,0.4113,0.8073,-0.3948,1.4802,3.5268,11.002,10.9949,10.858,10.8554,0.01043,0.32585,0.0,11.466
Simplified ABM,D2_Simplified,1234,train,4.0338,2.7646,0.8481,2.6798,10.4128,9.078,4.9399,4.4462,4.295,2.333,0.01409,0.19582,0.0,7.505
Simplified ABM,D2_Simplified,1234,val,1.7117,1.4056,0.7717,-0.6135,3.5708,4.6406,9.63,9.5714,9.6923,9.499,0.01321,0.32279,0.0,10.554
Simplified ABM,D2_Simplified,1234,oos,0.5508,0.394,0.8049,-0.3747,1.3847,3.5447,10.9393,10.9334,10.7845,10.7816,0.01054,0.3263,0.0,11.466
Labor-only ABM,D3_LaborOnly,42,train,1.8272,1.4555,0.8227,0.9317,4.7158,7.33,2.6651,-2.5388,3.1731,-2.9539,0.01401,0.21418,0.2571,9.572
Labor-only ABM,D3_LaborOnly,42,val,1.8798,1.5882,0.6979,-0.0339,5.093,5.2203,0.9462,0.0361,1.9889,0.0444,0.01337,0.27168,0.2519,12.899
Labor-only ABM,D3_LaborOnly,42,oos,0.4027,0.3547,0.7499,0.3209,0.8947,4.2319,1.2294,1.1776,0.9921,0.9281,0.0105,0.26842,0.2623,14.08
Labor-only ABM,D3_LaborOnly,137,train,1.8958,1.4917,0.831,1.04,4.7811,7.4382,2.6992,-2.59,3.2752,-3.0682,0.01407,0.21221,0.257,9.572
Labor-only ABM,D3_LaborOnly,137,val,1.8382,1.5465,0.724,-0.0442,5.1116,5.21,0.9606,0.0013,1.9805,0.0174,0.0134,0.2727,0.2511,12.902
Labor-only ABM,D3_LaborOnly,137,oos,0.4258,0.3898,0.7834,0.3553,0.7151,4.2692,1.2271,1.1649,0.9633,0.8939,0.01051,0.2671,0.2605,14.082
Labor-only ABM,D3_LaborOnly,2024,train,1.767,1.3988,0.837,0.9686,4.7164,7.3668,2.5199,-2.3671,3.0556,-2.8161,0.01405,0.2131,0.2574,9.573
Labor-only ABM,D3_LaborOnly,2024,val,1.8429,1.5639,0.7118,-0.0605,4.9679,5.1936,0.9499,0.2899,1.9553,0.3013,0.01339,0.27313,0.2523,12.901
Labor-only ABM,D3_LaborOnly,2024,oos,0.3409,0.3071,0.8087,0.2441,0.6134,4.1576,1.2021,1.1651,1.0016,0.9651,0.01045,0.27125,0.2615,14.076
Labor-only ABM,D3_LaborOnly,888,train,1.9302,1.5264,0.8212,1.0483,4.7528,7.4466,2.6408,-2.5186,3.2289,-3.0087,0.01405,0.21212,0.2564,9.577
Labor-only ABM,D3_LaborOnly,888,val,1.8995,1.6072,0.6851,-0.0948,5.0326,5.1594,0.9413,-0.0454,1.9972,0.005,0.01329,0.27322,0.2507,12.9
Labor-only ABM,D3_LaborOnly,888,oos,0.4415,0.406,0.7883,0.3557,0.738,4.2683,1.1865,1.1317,0.9169,0.8619,0.0105,0.26615,0.2608,14.078
Labor-only ABM,D3_LaborOnly,1234,train,1.8019,1.4427,0.83,0.9743,4.3244,7.3725,2.7193,-2.6139,3.2503,-3.0499,0.01408,0.2138,0.2561,9.578
Labor-only ABM,D3_LaborOnly,1234,val,1.8656,1.552,0.7083,-0.1295,5.1696,5.1247,1.0113,-0.087,2.0263,-0.0134,0.01319,0.27414,0.2503,12.908
Labor-only ABM,D3_LaborOnly,1234,oos,0.4451,0.4006,0.7375,0.3608,0.8735,4.2734,1.1258,1.0657,0.8689,0.7955,0.01061,0.26792,0.2604,14.09
