Loading target data...

=== V_NoSearch  flatten=['search']  n_draws=100  total_sims=300 ===
  [resume] reusing existing samples
  [resume] 300 seed-rows done
  V_NoLiquidity [ 74/100] mean=2.1083 std=0.0183  elapsed=20.2min
  V_NoLiquidity [ 75/100] mean=0.5049 std=0.0060  elapsed=20.6min
  V_NoLiquidity [ 76/100] mean=0.5958 std=0.0027  elapsed=21.1min
  V_NoLiquidity [ 77/100] mean=0.6986 std=0.0078  elapsed=21.5min
  V_NoLiquidity [ 78/100] mean=0.3736 std=0.0048  elapsed=21.9min
  V_NoLiquidity [ 79/100] mean=0.4449 std=0.0079  elapsed=22.4min
  V_NoLiquidity [ 80/100] mean=0.8257 std=0.0084  elapsed=22.8min
  V_NoLiquidity [ 81/100] mean=0.4483 std=0.0019  elapsed=23.2min
  V_NoLiquidity [ 82/100] mean=1.2874 std=0.0104  elapsed=23.6min
  V_NoLiquidity [ 83/100] mean=0.5696 std=0.0016  elapsed=24.1min
  V_NoLiquidity [ 84/100] mean=0.9870 std=0.0059  elapsed=24.5min
  V_NoLiquidity [ 85/100] mean=0.5680 std=0.0098  elapsed=24.9min
  V_NoLiquidity [ 86/100] mean=1.8134 std=0.0245  elapsed=25.4min
  V_NoLiquidity [ 87/100] mean=0.5206 std=0.0013  elapsed=25.8min
  V_NoLiquidity [ 88/100] mean=2.4466 std=0.0155  elapsed=26.2min
  V_NoLiquidity [ 89/100] mean=0.6023 std=0.0020  elapsed=26.6min
  V_NoLiquidity [ 90/100] mean=0.5824 std=0.0015  elapsed=27.1min
  V_NoLiquidity [ 91/100] mean=0.4540 std=0.0038  elapsed=27.5min
  V_NoLiquidity [ 92/100] mean=0.5088 std=0.0031  elapsed=27.9min
  V_NoLiquidity [ 93/100] mean=0.4534 std=0.0071  elapsed=28.3min
  V_NoLiquidity [ 94/100] mean=0.5379 std=0.0056  elapsed=28.7min
  V_NoLiquidity [ 95/100] mean=0.5962 std=0.0001  elapsed=29.2min
  V_NoLiquidity [ 96/100] mean=0.4442 std=0.0057  elapsed=29.6min
  V_NoLiquidity [ 97/100] mean=0.4322 std=0.0041  elapsed=30.0min
  V_NoLiquidity [ 98/100] mean=0.4454 std=0.0056  elapsed=30.4min
  V_NoLiquidity [ 99/100] mean=0.9684 std=0.0140  elapsed=30.8min
  V_NoLiquidity [100/100] mean=0.5604 std=0.0035  elapsed=31.2min
  -> top1 mean train loss = 0.3736

=== V_NoHousing  flatten=['housing']  n_draws=100  total_sims=300 ===
  V_NoHousing [  1/100] mean=0.6159 std=0.0053  elapsed=31.7min
  V_NoHousing [  2/100] mean=0.5972 std=0.0102  elapsed=32.1min
  V_NoHousing [  3/100] mean=0.2749 std=0.0056  elapsed=32.6min
  V_NoHousing [  4/100] mean=0.7758 std=0.0178  elapsed=33.0min
  V_NoHousing [  5/100] mean=1.3606 std=0.0082  elapsed=33.5min
  V_NoHousing [  6/100] mean=0.5963 std=0.0017  elapsed=33.9min
  V_NoHousing [  7/100] mean=0.3333 std=0.0031  elapsed=34.4min
  V_NoHousing [  8/100] mean=0.3630 std=0.0011  elapsed=34.8min
  V_NoHousing [  9/100] mean=0.3038 std=0.0041  elapsed=35.3min
  V_NoHousing [ 10/100] mean=0.3993 std=0.0047  elapsed=35.7min
  V_NoHousing [ 11/100] mean=0.5333 std=0.0145  elapsed=36.2min
  V_NoHousing [ 12/100] mean=0.4622 std=0.0015  elapsed=36.6min
  V_NoHousing [ 13/100] mean=0.4643 std=0.0077  elapsed=37.0min
  V_NoHousing [ 14/100] mean=0.4497 std=0.0040  elapsed=37.5min
  V_NoHousing [ 15/100] mean=0.3076 std=0.0062  elapsed=37.9min
  V_NoHousing [ 16/100] mean=0.8018 std=0.0128  elapsed=38.4min
  V_NoHousing [ 17/100] mean=0.4518 std=0.0092  elapsed=38.8min
  V_NoHousing [ 18/100] mean=0.2643 std=0.0037  elapsed=39.3min
  V_NoHousing [ 19/100] mean=0.3747 std=0.0047  elapsed=39.7min
  V_NoHousing [ 20/100] mean=0.3524 std=0.0017  elapsed=40.2min
  V_NoHousing [ 21/100] mean=0.3535 std=0.0048  elapsed=40.6min
  V_NoHousing [ 22/100] mean=0.3112 std=0.0070  elapsed=41.0min
